[2026-02-26 10:47:57] Iniciando orchestrator com 1 streams...
[2026-02-26 10:47:57] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:47:57] Ingest processes: 1
[2026-02-26 10:47:57] Worker processes: 1
[2026-02-26 10:47:57] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 10:48:02] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:07] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:12] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:17] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:22] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:27] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:32] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:37] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:42] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:47] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:52] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:48:57] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:02] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:07] [HB] frames_in=0 frames_proc=0 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:10] Encerrando orchestrator...
[2026-02-26 10:49:13] Iniciando orchestrator com 1 streams...
[2026-02-26 10:49:13] Basic Auth habilitado via HLS_USER/HLS_PASS.
[2026-02-26 10:49:13] Ingest processes: 1
[2026-02-26 10:49:13] Worker processes: 1
[2026-02-26 10:49:13] Orchestrator rodando. CTRL+C para parar.
[2026-02-26 10:49:18] [HB] frames_in=58 frames_proc=2 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:23] [HB] frames_in=82 frames_proc=3 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:28] [HB] frames_in=82 frames_proc=3 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:33] [HB] frames_in=100 frames_proc=4 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:38] [HB] frames_in=124 frames_proc=5 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:43] [HB] frames_in=124 frames_proc=5 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:49] [HB] frames_in=148 frames_proc=6 events_out=0 ingest_alive=1/1 worker_alive=1/1
[2026-02-26 10:49:54] [HB] frames_in=184 frames_proc=7 events_out=0 ingest_alive=1/1 worker_alive=1/1
